"id_final","name_final","elevation","z_max","z_mean","area_Ha","DV","form_DV","V","source","lon","lat"
"LID 54356","Whakatipu Waitai (Lake Mckerrow)",1,121,71.551609705188,2347.404,1.77400685219474,"Concave",1679605348.28397,"LERNZmp",168.058744102429,-44.4522605574665
"LID 54672","Wanaka",279,311,164.462452574549,19381.0196,1.58645452644259,"Concave",31874500168.114,"LERNZmp",169.134493906527,-44.5073892102871
"LID 54730","Rotoiti",283.22259521484,101.303,35.6928608143904,3382.428,1.05701294574861,"Convex",1207285318.18697,"LERNZmp",176.439993497604,-38.0332118780065
"LID 54731","Okataina",311.20367431641,84.794,48.6342622432891,1078.3248,1.72067347606985,"Concave",524435311.066422,"LERNZmp",176.402602642879,-38.1286103361799
"LID 54732","Tarawera",300.77066040039,94.291,60.3273813079518,4128.3252,1.9193999843448,"Concave",2490510485.03626,"LERNZmp",176.418056468465,-38.2057428922394
"LID 54733","Rotomahana",347.01452636719,125.195,63.9469997362007,907.4004,1.53233754709535,"Concave",580255331.394284,"LERNZmp",176.439751342213,-38.2652487079321
"LID 54734","Taupomoana (Lake Taupo)",357,158,95.7603587368334,61743.766,1.81823465956013,"Concave",59126051819.2309,"LERNZmp",175.945371426013,-38.80417772222
"LID 54735","Manapouri",179,444,165.028799974157,13593.875,1.11505945928484,"Convex",22433808782.4869,"LERNZmp",167.560675809465,-45.5224039734009
"LID 54736","Hawea",348,384,159.307992150365,15379.9872,1.24459368867473,"Convex",24501548801.3032,"LERNZmp",169.326199689955,-44.4421889128346
"LID 54738","Lake Sumner",525,134,77.5132369621927,1409.7828,1.73537097676551,"Concave",1092768282.41624,"LERNZmp",172.209959700612,-42.7049729296178
"LID 54742","Waituna",0.046165127307177,4.266,1.36198044892658,1366.896,0.957792158176216,"Convex",18616856.2771594,"LERNZmp",168.586179449132,-46.5722268198275
